Year-Month;LastKnownTerm
2017-01;4255
2017-02;4255
2017-03;4255
2017-04;4255
2017-05;4255
2017-06;4255
2017-07;3914.3
2017-08;3914.3
2017-09;3914.3
2017-10;3731.7
2017-11;3731.7
2017-12;3731.7
2018-01;3766.7
2018-02;3766.7
2018-03;3766.7
2018-04;3796.1
2018-05;3796.1
2018-06;3796.1
2018-07;3490.1
2018-08;3490.1
2018-09;3490.1
2018-10;3326
2018-11;3326
2018-12;3326
2019-01;3304.3
2019-02;3304.3
2019-03;3304.3
2019-04;3354.2
2019-05;3354.2
2019-06;3354.2
2019-07;3230.6
2019-08;3230.6
2019-09;3230.6
2019-10;3214.4
2019-11;3214.4
2019-12;3214.4
2020-01;3191.9
2020-02;3191.9
2020-03;3191.9
2020-04;3313
2020-05;3313
2020-06;3313
2020-07;3368
2020-08;3368
2020-09;3368
2020-10;3722.9
2020-11;3722.9
2020-12;3722.9
2021-01;3719.8
2021-02;3719.8
2021-03;3719.8
2021-04;3653.9
2021-05;3653.9
2021-06;3653.9
2021-07;3543.8
2021-08;3543.8
2021-09;3543.8
2021-10;3416.7
2021-11;3416.7
2021-12;3416.7
2022-01;3103.8
2022-02;3103.8
2022-03;3103.8
2022-04;3174.7
2022-05;3174.7
2022-06;3174.7
2022-07;2919.4
2022-08;2919.4
2022-09;2919.4
