year-week,ID_material,Units
2019-11,120010970,540
2019-12,120010970,750
2019-13,120010970,960
2019-14,120010970,720
2019-15,120010970,1620
2019-16,120010970,900
2019-17,120010970,420
2019-18,120010970,360
2019-19,120010970,1320
2019-20,120010970,600
2019-21,120010970,2130
2019-22,120010970,3660
2019-23,120010970,3360
2019-24,120010970,2040
2019-25,120010970,2400
2019-26,120010970,2520
2019-27,120010970,1800
2019-28,120010970,0
2019-29,120010970,360
2019-30,120010970,240
2019-31,120010970,1200
2019-32,120010970,1380
2019-33,120010970,480
2019-34,120010970,1800
2019-35,120010970,840
2019-36,120010970,2100
2019-37,120010970,1260
2019-38,120010970,1380
2019-39,120010970,1200
2019-40,120010970,1200
2019-41,120010970,1020
2019-42,120010970,720
2019-43,120010970,1560
2019-44,120010970,1320
2019-45,120010970,1440
2019-46,120010970,1080
2019-47,120010970,1680
2019-48,120010970,1980
2019-49,120010970,1260
2019-50,120010970,1500
2019-51,120010970,1140
2019-52,120010970,1200
2020-01,120010970,420
2020-02,120010970,1020
2020-03,120010970,1980
2020-04,120010970,480
2020-05,120010970,1320
2020-06,120010970,2280
2020-07,120010970,240
2020-08,120010970,1500
2020-09,120010970,1800
2020-10,120010970,2460
2020-11,120010970,960
2020-12,120010970,780
2020-13,120010970,960
2020-14,120010970,3600
2020-15,120010970,480
2020-16,120010970,1440
2020-17,120010970,420
2020-18,120010970,0
2020-19,120010970,840
2020-20,120010970,870
2020-21,120010970,900
2020-22,120010970,600
2020-23,120010970,120
2020-24,120010970,1920
2020-25,120010970,2280
2020-26,120010970,2640
2020-27,120010970,1920
2020-28,120010970,1200
2020-29,120010970,420
2020-30,120010970,300
2020-31,120010970,840
2020-32,120010970,540
2020-33,120010970,1350
2020-34,120010970,2160
2020-35,120010970,1380
2020-36,120010970,1320
2020-37,120010970,1140
2020-38,120010970,1440
2020-39,120010970,780
2020-40,120010970,1200
2020-41,120010970,1020
2020-42,120010970,780
2020-43,120010970,690
2020-44,120010970,600
2020-45,120010970,1680
2020-46,120010970,1140
2020-47,120010970,540
2020-48,120010970,240
2020-49,120010970,0
2020-50,120010970,480
2020-51,120010970,1740
2020-52,120010970,780
