ID_material,Year,Season,MonthName,Units,Number_Of_Holidays_In_That_Month_SPAIN,GDP_Past_Quarter_Change,PreviousUnemploymentQuarterAmmount,Months_Since_Material_Release,Absolute_Previous GDP Quarter Change
120004096,2017,Spring,March,540.0,0,0.8,4255.0,2,0.8
120004096,2017,Spring,April,-420.0,1,0.8,4255.0,3,0.8
120004096,2017,Spring,May,300.0,1,0.8,4255.0,4,0.8
120004096,2017,Summer,June,-180.0,0,0.8,4255.0,5,0.8
120004096,2017,Summer,July,-60.0,0,1.0,3914.3,6,1.0
120004096,2017,Summer,August,240.0,1,1.0,3914.3,7,1.0
120014488,2017,Summer,August,7380.0,1,1.0,3914.3,0,1.0
120004096,2017,Autumn,September,-60.0,0,1.0,3914.3,8,1.0
120014488,2017,Autumn,September,4860.0,0,1.0,3914.3,1,1.0
120004096,2017,Autumn,October,0.0,2,0.6,3731.7,9,0.6
120014486,2017,Autumn,October,7716.0,2,0.6,3731.7,0,0.6
120014488,2017,Autumn,October,3060.0,2,0.6,3731.7,2,0.6
120004096,2017,Autumn,November,-180.0,0,0.6,3731.7,10,0.6
120014488,2017,Autumn,November,10350.0,0,0.6,3731.7,3,0.6
120014486,2017,Autumn,November,3906.0,0,0.6,3731.7,1,0.6
120014488,2017,Winter,December,12060.0,3,0.6,3731.7,4,0.6
120004096,2017,Winter,December,0.0,3,0.6,3731.7,11,0.6
120014486,2017,Winter,December,4158.0,3,0.6,3731.7,2,0.6
120004096,2018,Winter,January,540.0,2,0.7,3766.7,12,0.7
120014486,2018,Winter,January,6426.0,2,0.7,3766.7,3,0.7
120014488,2018,Winter,January,4680.0,2,0.7,3766.7,5,0.7
120014486,2018,Winter,February,7560.0,0,0.7,3766.7,4,0.7
120015996,2018,Winter,February,482.0,0,0.7,3766.7,0,0.7
120004096,2018,Winter,February,-540.0,0,0.7,3766.7,13,0.7
120009816,2018,Winter,February,2160.0,0,0.7,3766.7,0,0.7
120014488,2018,Winter,February,15300.0,0,0.7,3766.7,6,0.7
120014488,2018,Spring,March,1980.0,1,0.7,3766.7,7,0.7
120004096,2018,Spring,March,-480.0,1,0.7,3766.7,14,0.7
120009816,2018,Spring,March,288.0,1,0.7,3766.7,1,0.7
120014486,2018,Spring,March,378.0,1,0.7,3766.7,5,0.7
120015996,2018,Spring,March,568.0,1,0.7,3766.7,1,0.7
120009816,2018,Spring,April,3744.0,1,0.5,3796.1,2,0.5
120015996,2018,Spring,April,4128.0,1,0.5,3796.1,2,0.5
120014488,2018,Spring,April,10080.0,1,0.5,3796.1,8,0.5
120004096,2018,Spring,April,1080.0,1,0.5,3796.1,15,0.5
120010342,2018,Spring,April,480.0,1,0.5,3796.1,0,0.5
120009814,2018,Spring,April,1248.0,1,0.5,3796.1,0,0.5
120014486,2018,Spring,April,7182.0,1,0.5,3796.1,6,0.5
120015996,2018,Spring,May,9272.0,0,0.5,3796.1,3,0.5
120014488,2018,Spring,May,2700.0,0,0.5,3796.1,9,0.5
120009814,2018,Spring,May,1092.0,0,0.5,3796.1,1,0.5
120014486,2018,Spring,May,3213.0,0,0.5,3796.1,7,0.5
120010342,2018,Spring,May,2610.0,0,0.5,3796.1,1,0.5
120004096,2018,Spring,May,-420.0,0,0.5,3796.1,16,0.5
120009816,2018,Spring,May,144.0,0,0.5,3796.1,3,0.5
120004096,2018,Summer,June,-240.0,0,0.5,3796.1,17,0.5
120009814,2018,Summer,June,1716.0,0,0.5,3796.1,2,0.5
120014486,2018,Summer,June,6426.0,0,0.5,3796.1,8,0.5
120014488,2018,Summer,June,5220.0,0,0.5,3796.1,10,0.5
120010342,2018,Summer,June,2580.0,0,0.5,3796.1,2,0.5
120009816,2018,Summer,June,2016.0,0,0.5,3796.1,4,0.5
120015996,2018,Summer,June,4228.0,0,0.5,3796.1,4,0.5
120009814,2018,Summer,July,2964.0,0,0.6,3490.1,3,0.6
120010342,2018,Summer,July,1980.0,0,0.6,3490.1,3,0.6
120009816,2018,Summer,July,2736.0,0,0.6,3490.1,5,0.6
120010566,2018,Summer,July,5256.0,0,0.6,3490.1,0,0.6
120015996,2018,Summer,July,10168.0,0,0.6,3490.1,5,0.6
120014486,2018,Summer,July,4914.0,0,0.6,3490.1,9,0.6
120014488,2018,Summer,July,13500.0,0,0.6,3490.1,11,0.6
120004096,2018,Summer,July,120.0,0,0.6,3490.1,18,0.6
120009816,2018,Summer,August,720.0,1,0.6,3490.1,6,0.6
120010566,2018,Summer,August,10668.0,1,0.6,3490.1,1,0.6
120015996,2018,Summer,August,6172.0,1,0.6,3490.1,6,0.6
120004096,2018,Summer,August,60.0,1,0.6,3490.1,19,0.6
120009814,2018,Summer,August,2808.0,1,0.6,3490.1,4,0.6
120014488,2018,Summer,August,3600.0,1,0.6,3490.1,12,0.6
120014486,2018,Summer,August,6804.0,1,0.6,3490.1,10,0.6
120010342,2018,Summer,August,2340.0,1,0.6,3490.1,4,0.6
120014486,2018,Autumn,September,9072.0,0,0.6,3490.1,11,0.6
120004096,2018,Autumn,September,240.0,0,0.6,3490.1,20,0.6
120010566,2018,Autumn,September,9156.0,0,0.6,3490.1,2,0.6
120010342,2018,Autumn,September,2820.0,0,0.6,3490.1,5,0.6
120015996,2018,Autumn,September,8906.0,0,0.6,3490.1,7,0.6
120014488,2018,Autumn,September,3645.0,0,0.6,3490.1,13,0.6
120009816,2018,Autumn,September,1296.0,0,0.6,3490.1,7,0.6
120009814,2018,Autumn,September,1560.0,0,0.6,3490.1,5,0.6
120014488,2018,Autumn,October,10080.0,2,0.5,3326.0,14,0.5
120004096,2018,Autumn,October,-600.0,2,0.5,3326.0,21,0.5
120014486,2018,Autumn,October,8694.0,2,0.5,3326.0,12,0.5
120015996,2018,Autumn,October,10256.0,2,0.5,3326.0,8,0.5
120009814,2018,Autumn,October,156.0,2,0.5,3326.0,6,0.5
